model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_AllModels_1_AutoML_3_20260728_115651,0.8720946201119236,0.4127035010094793,0.8483141518350408,0.1928193772101486,0.3595733841474373,0.1292930185872405
StackedEnsemble_BestOfFamily_1_AutoML_3_20260728_115651,0.8679961891028942,0.4163650422852067,0.846998503704272,0.1973941703574003,0.3607120788064553,0.1301132037968745
GBM_4_AutoML_3_20260728_115651,0.8603014385278265,0.4384102996939728,0.8281990568862315,0.20410615580046,0.3728920095655083,0.1390484507978031
GBM_grid_1_AutoML_3_20260728_115651_model_3,0.8569111133999382,0.4437040318219906,0.8180880741458669,0.1840989459951247,0.3726088274481949,0.1388373382923186
DeepLearning_grid_2_AutoML_3_20260728_115651_model_1,0.8544305970405466,0.4670298318590923,0.8184428508969911,0.2047842208260377,0.3763135785625976,0.1416119094105883
GBM_5_AutoML_3_20260728_115651,0.8537568235657638,0.4442613270432503,0.8223103127940232,0.2055137844611528,0.3747972440622469,0.1404729741566555
GBM_2_AutoML_3_20260728_115651,0.8484524667833968,0.4469491852131078,0.8248940595717658,0.2102087410306588,0.3745560618859123,0.1402922434954833
XRT_1_AutoML_3_20260728_115651,0.8477443609022557,0.4619965084249529,0.8124751058031305,0.2019603804030624,0.3836875788827552,0.1472161581889104
GBM_grid_1_AutoML_3_20260728_115651_model_2,0.8467401380162736,0.4684248778363015,0.8102099111565626,0.2200878909602774,0.3873061047254173,0.1500060187575759
DRF_1_AutoML_3_20260728_115651,0.8459805335255948,0.6105744382410372,0.8067988502460095,0.2090071068081161,0.3802834873790438,0.1446155307731673
GLM_1_AutoML_3_20260728_115651,0.8448861880729219,0.4561726560545471,0.8066196631361352,0.220954784220826,0.3823214467972103,0.1461696886811121
GBM_3_AutoML_3_20260728_115651,0.8436974285027637,0.4577993900304997,0.8147810861384983,0.2206972911731383,0.3808472207836505,0.1450446055786306
DeepLearning_grid_3_AutoML_3_20260728_115651_model_1,0.8416503587736465,0.5024133840429642,0.80563436754499,0.2141054691523329,0.3888941279435925,0.1512386427490073
DeepLearning_grid_1_AutoML_3_20260728_115651_model_1,0.8362215470182305,0.4957188959662921,0.7932431006464643,0.2132986576029114,0.3901315463469689,0.1522026234550771
DeepLearning_1_AutoML_3_20260728_115651,0.8305867408246644,0.4853917109358011,0.7907811429112619,0.2250489236790606,0.3881398997974951,0.1506525818148095
GBM_grid_1_AutoML_3_20260728_115651_model_1,0.8280161018985821,0.4796414720303704,0.7769875379745022,0.2074621485219899,0.3891415814300317,0.151431170397866
GBM_1_AutoML_3_20260728_115651,0.8206947162426614,0.4873660528701486,0.7578168420789333,0.2188776736361451,0.3988173289719455,0.1590552618883169
